,price,rating,name,online_order,table_booking,type,cuisines
67,1000.0,3.9,70 Brigade - Iris Hotel,No,Yes,Casual Dining,"Chinese, North Indian, Pizza"
68,600.0,3.2,7Biryanis,Yes,No,Casual Dining,"Andhra, Biryani"
69,300.0,3.6,7th Heaven,No,No,Bakery,"Bakery, Desserts"
70,600.0,3.7,8 Slice,Yes,No,Delivery,Pizza
71,500.0,2.8,9 Bowls,Yes,No,Quick Bites,"Healthy Food, Continental, North Indian, Chinese"
72,200.0,2.8,90's,No,No,Quick Bites,North Indian
73,1000.0,3.0,90's Beer Cafe - Hotel Millennium Plaza,No,No,Bar,Finger Food
74,500.0,2.8,90's Cafe,No,No,Quick Bites,"Fast Food, Burger"
75,250.0,3.6,99 Caffe,Yes,No,Quick Bites,"South Indian, North Indian, Chinese"
76,150.0,4.1,99 Pancakes,Yes,No,Dessert Parlor,"Desserts, Ice Cream"
77,250.0,3.8,99 Variety Dosa & Pav Bhaji,Yes,No,Quick Bites,"South Indian, North Indian, Street Food"
78,250.0,4.0,99 Variety Dosa and Pav Bhaji,Yes,No,Quick Bites,"South Indian, North Indian, Street Food"
79,300.0,2.8,99 Variety Dose-Biryanis-Starters,Yes,No,"Takeaway, Delivery","South Indian, North Indian, Fast Food, Chinese"
80,400.0,3.4,99Foods,No,No,Quick Bites,"Biryani, North Indian, Chinese, Kebab"
81,400.0,4.0,9D Foods,Yes,No,Quick Bites,"North Indian, Street Food"
82,550.0,3.6,9th Cross Cafe,No,No,Cafe,"Cafe, Italian, French"
83,300.0,2.8,A 1 Pizza and Food,Yes,No,Delivery,"Pizza, Chinese, North Indian"
84,600.0,3.3,A Bar,No,No,Bar,"North Indian, Continental"
85,600.0,4.3,A Hole Lotta Love Cafe,Yes,No,Cafe,"Cafe, American, Burger, Sandwich, Beverages"
86,350.0,3.4,A Little For Love,No,No,Bakery,Bakery
87,300.0,3.3,A M Biryani Hotel,Yes,No,Quick Bites,"North Indian, Chinese, Biryani, Fast Food"
88,750.0,3.0,A Southern Fair,Yes,No,Casual Dining,"Biryani, Seafood, South Indian"
89,200.0,3.2,A Today Thick Shakes,No,No,Beverage Shop,Beverages
90,350.0,3.5,A.M New Punjab Food Corner,Yes,No,Quick Bites,"North Indian, Chinese"
91,300.0,3.2,A1 Ambur Dum Biryani And Parota Centre,No,No,Quick Bites,Biryani
92,200.0,3.0,A1 Biriyani Point,No,No,Quick Bites,Biryani
93,500.0,3.6,A1 Garam Masala,Yes,No,Casual Dining,"North Indian, Andhra, Chinese"
94,150.0,3.2,A1 Hot Dum Biryani,No,No,Quick Bites,Biryani
95,500.0,3.5,A1 Spice Inn,No,No,Casual Dining,"Biryani, Chinese, Hyderabadi, North Indian, South Indian"
96,400.0,2.5,A2B - Adyar Ananda Bhavan,Yes,No,Casual Dining,"South Indian, North Indian, Chinese, Street Food, Fast Food"
97,400.0,2.7,A2B Veg - Adyar Ananda Bhavan,Yes,No,Casual Dining,"South Indian, Fast Food, Street Food"
98,300.0,3.7,A3 Nuwang Kitchen,Yes,No,Quick Bites,"Chinese, North Indian"
99,600.0,2.8,Aaccord Restaurant,No,No,Casual Dining,"Continental, North Indian, Chinese"
100,800.0,3.3,Aadhya Hotel,Yes,No,"Casual Dining, Bar","South Indian, North Indian, Chinese, Biryani"
101,350.0,3.6,Aadvik Nightfood,Yes,No,Delivery,Fast Food
102,900.0,2.8,Aagaman Veg,Yes,No,Casual Dining,"North Indian, Chinese, South Indian"
103,300.0,3.6,Aaha,Yes,No,Quick Bites,"North Indian, Chinese"
104,900.0,3.4,Aaha Andhra,No,No,Casual Dining,"Andhra, Biryani, North Indian"
105,100.0,,Aahar Cafe,No,No,Quick Bites,South Indian
106,250.0,4.0,Aahar Vihar,Yes,No,Quick Bites,North Indian
107,300.0,3.5,Aahara Vihar,No,No,Quick Bites,"South Indian, North Indian, Chinese"
108,350.0,4.0,Aaharam,No,No,Quick Bites,"Chinese, North Indian"
109,650.0,3.5,Aalishan Restaurant & Caterer,Yes,No,Casual Dining,"North Indian, Mughlai"
110,700.0,3.0,Aami Bangali,Yes,No,Casual Dining,Bengali
111,600.0,3.3,Aami Kolkata,No,No,Delivery,Bengali
112,200.0,3.5,Aao G Khao G,Yes,No,Quick Bites,"North Indian, Chinese"
113,400.0,3.2,Aapni Rasoi,Yes,No,Quick Bites,North Indian
114,800.0,3.4,Aaranya Restaurant,Yes,No,Casual Dining,"North Indian, Chinese, Mughlai"
115,200.0,3.6,Aarti Paratha & Rolls Corner,Yes,No,Quick Bites,"North Indian, Fast Food"
116,300.0,3.3,Aarya Pork Hotel,No,No,Quick Bites,"South Indian, Biryani, Chinese"
117,300.0,3.1,Aashirvaad Restaurant,Yes,No,Quick Bites,"North Indian, Oriya, Chinese"
118,150.0,2.7,Aashish Foods,Yes,No,Quick Bites,North Indian
119,600.0,3.8,Aasife & Brothers Biriyani Centre,Yes,No,Casual Dining,"Biryani, North Indian, South Indian, Chinese"
120,250.0,3.9,Aastha Bengali Mess,Yes,No,Quick Bites,"Chinese, Bengali"
121,250.0,2.8,Aata's Kitchen,Yes,No,Quick Bites,"South Indian, North Indian"
122,1100.0,3.1,Aathithya,No,No,Casual Dining,"North Indian, Continental, Chinese"
123,600.0,3.2,Aathurar,Yes,No,Casual Dining,"Chettinad, Biryani, South Indian, Seafood"
124,200.0,3.7,Abbabi Chicken,No,No,Quick Bites,Fast Food
125,,3.5,ABC Grand,No,No,Casual Dining,"Andhra, Chinese, North Indian"
126,650.0,3.8,Abhiruchi,No,No,Casual Dining,"Andhra, Seafood, North Indian, Chinese"
127,300.0,3.1,Abhiruchi Andhra Mess,Yes,No,Mess,"Andhra, Biryani, South Indian"
128,500.0,3.2,Abhiruchi Hotel,Yes,No,Casual Dining,"North Indian, South Indian, Chinese"
129,300.0,3.3,Abhiruchi Moonlight,Yes,No,"Takeaway, Delivery",North Indian
130,400.0,3.4,Abhiruchi Restaurant,Yes,No,Casual Dining,"Andhra, North Indian, Chinese"
131,1400.0,4.6,AB's - Absolute Barbecues,No,Yes,Casual Dining,"European, Mediterranean, North Indian, BBQ"
132,450.0,3.8,Absolute Chinese,Yes,No,Quick Bites,"Chinese, Fast Food, Momos"
133,150.0,2.8,Absolute Shawarma,Yes,No,"Takeaway, Delivery",Lebanese
134,200.0,3.9,Absolute Waffles,Yes,No,Dessert Parlor,"Desserts, Fast Food"
135,400.0,2.8,Aburrahaman,No,No,Delivery,"North Indian, South Indian, Chinese"
136,300.0,2.9,Abzain Paradise,No,No,Quick Bites,North Indian
137,350.0,3.8,Achayyan's,Yes,No,Quick Bites,"Kerala, South Indian"
138,500.0,3.6,Ackley Kitchen,Yes,No,Quick Bites,"Fast Food, Continental, Burger"
139,300.0,3.1,Adarsh Bakery,No,No,Bakery,"Bakery, Fast Food"
140,300.0,3.3,Adda,No,No,Quick Bites,South Indian
141,300.0,3.7,Addhuri Udupi Bhojana,No,No,Quick Bites,"South Indian, North Indian"
142,150.0,3.3,Adiga's,No,No,Quick Bites,South Indian
143,400.0,3.3,Adi's Cake N Cafe,No,No,Bakery,Bakery
144,450.0,3.9,Adithya,Yes,No,Casual Dining,"South Indian, North Indian, Chinese"
145,250.0,3.7,Adithya Family Restaurant,No,No,Quick Bites,South Indian
146,200.0,2.8,Adithya Tiffin Centre,No,No,"Takeaway, Delivery",North Indian
147,300.0,3.3,Adithya Veg,No,No,Quick Bites,"South Indian, Chinese"
148,300.0,3.7,Aditya Delights,No,No,Quick Bites,"Chinese, North Indian, Mangalorean"
149,200.0,3.7,Aditya Sweets,Yes,No,Sweet Shop,"Mithai, Fast Food"
150,200.0,3.5,Aditya Uphar,No,No,Quick Bites,"South Indian, Chinese, North Indian"
151,600.0,2.9,Adukkala Restaurant,Yes,No,Casual Dining,Kerala
152,450.0,2.9,Adupadi,No,No,Quick Bites,"South Indian, Chettinad"
153,300.0,3.2,Advika Briyani Center,No,No,Delivery,Biryani
154,400.0,3.3,Adya Hotel,No,No,Quick Bites,"South Indian, North Indian, Chinese"
155,200.0,2.8,Adyar Anand Bhavan Sweets,No,No,Quick Bites,"South Indian, North Indian, Chinese, Street Food"
156,200.0,3.4,Adyar Ananda Bhavan - Sweets,Yes,No,"Takeaway, Delivery","Mithai, Desserts"
157,200.0,3.6,Adyar Ananda Bhavan Sweets,Yes,No,"Takeaway, Delivery","Mithai, Desserts"
158,400.0,3.6,Afghani Tandoori Hub,Yes,No,Quick Bites,"Arabian, Afghan"
159,800.0,3.5,Afoozoo - Ginger Hotel,No,No,Casual Dining,"North Indian, Chinese"
160,250.0,3.4,Afrina's Kitchen,Yes,No,"Takeaway, Delivery","Fast Food, Desserts"
161,400.0,3.5,Agarwal Food Service,Yes,No,Delivery,"North Indian, Chinese, Biryani"
162,1300.0,4.0,Agent Jack's Bar,No,Yes,Bar,"Continental, North Indian, Italian"
163,150.0,2.8,Agraharaa,No,No,Quick Bites,South Indian
164,300.0,3.7,Agraharam Meal,No,No,"Takeaway, Delivery","North Indian, South Indian"
165,200.0,3.6,Aha Juice Bar,No,No,Beverage Shop,"Beverages, Fast Food"
166,300.0,2.8,Ahaan Restaurant,Yes,No,Delivery,"North Indian, Chinese"
167,800.0,3.4,AhimsaAmrit Green Cafe,No,No,Casual Dining,"Healthy Food, Salad, Continental"
168,200.0,3.2,Ahmad's Chicken Hut,No,No,Quick Bites,"North Indian, Chinese"
169,250.0,2.8,Ahmed's Little Hut,Yes,No,Quick Bites,Fast Food
170,250.0,2.8,Ahmeds Takeaway Restaurant,No,No,"Takeaway, Delivery","North Indian, Chinese"
171,1400.0,4.2,Aioli,No,Yes,Casual Dining,"Mediterranean, Continental, Italian, Salad"
172,400.0,4.0,Airlines Hotel,Yes,No,Quick Bites,"South Indian, North Indian, Street Food"
173,400.0,,Aisha Tharavad,No,No,Quick Bites,"South Indian, Kerala"
174,450.0,3.3,Aishwarya,No,No,Dhaba,"Chinese, North Indian"
175,500.0,2.9,Aishwarya Parkland,No,No,Casual Dining,"Chinese, North Indian"
176,250.0,3.6,Aishwarya Sweets,Yes,No,Sweet Shop,"Mithai, Street Food"
177,150.0,2.8,Aishwarya Uphar,No,No,Quick Bites,"South Indian, North Indian"
178,500.0,3.9,Ajwa Thalassery Biryani,Yes,Yes,Quick Bites,"Biryani, South Indian"
179,600.0,3.9,Akkad Bakkad,Yes,Yes,Casual Dining,"North Indian, Chinese"
180,500.0,3.6,AKS Family Dhaba And Restaurant,Yes,No,Quick Bites,"North Indian, Mughlai, South Indian"
181,700.0,3.8,Akshara,Yes,No,Casual Dining,"North Indian, South Indian, Chinese"
182,500.0,3.7,Akshatha Nati Style,No,No,Quick Bites,"South Indian, Chinese, North Indian"
183,600.0,2.8,Akshaya Bar And Restaurant,Yes,No,"Casual Dining, Bar","North Indian, South Indian, Chinese, Fast Food"
184,300.0,3.6,AKSHAYA BIRYANI,Yes,No,Quick Bites,"Biryani, North Indian"
185,500.0,4.0,Akshaya Deluxe,Yes,No,Casual Dining,"North Indian, Chinese, Seafood, Biryani"
186,300.0,3.0,Akshaya Donne Biriyani,Yes,No,Quick Bites,"Biryani, South Indian, Kebab"
187,150.0,3.2,Akshaya Family Restaurant,Yes,No,Quick Bites,"South Indian, North Indian"
188,750.0,3.4,Akshaya Grand,Yes,No,Casual Dining,North Indian
189,200.0,3.2,Akshaya Sambrama Veg Restaurant,No,No,Quick Bites,"South Indian, Chinese"
190,1800.0,4.2,Akss - India Reimagined,No,Yes,Casual Dining,"Modern Indian, North Indian"
191,300.0,4.0,Al Amal Cafe,No,No,"Cafe, Quick Bites","Cafe, Fast Food"
192,300.0,4.4,Al Amanah Cafe,Yes,No,Quick Bites,"Middle Eastern, Fast Food, Rolls"
193,200.0,3.7,Al Ameen Rolls Corner,No,No,Quick Bites,Rolls
194,300.0,3.6,Al Barack Cafetaria,No,No,Quick Bites,Arabian
195,550.0,4.2,Al Daaz,Yes,No,Casual Dining,"North Indian, Continental, BBQ"
196,300.0,3.2,Al Diwan Biryanis And More,Yes,No,"Takeaway, Delivery",Biryani
197,400.0,3.3,Al Ghani Resetaurant,No,No,Quick Bites,"Mughlai, Biryani"
198,300.0,3.5,Al Habibi Restaurant,Yes,No,Quick Bites,"North Indian, Chinese"
199,200.0,3.5,Al Hayath,No,No,Quick Bites,"North Indian, Chinese"
200,200.0,3.3,Al Hayath Ambur Biryani,No,No,Quick Bites,Biryani
201,,3.7,Al Karim,No,No,Casual Dining,"Mughlai, North Indian, Biryani, Chinese"
202,200.0,2.8,Al Khaleej Snacks Corner,No,No,Quick Bites,"Lebanese, Fast Food, Beverages"
203,550.0,3.9,Al Khansah,Yes,No,Casual Dining,"Biryani, Mughlai, Chinese, North Indian, Kebab"
204,400.0,3.0,Al Khwaja,No,No,Casual Dining,"North Indian, Chinese"
205,300.0,3.4,Al Madhina Roll House,No,No,Quick Bites,"North Indian, Chinese"
206,500.0,2.8,Al Madina Family Restaurant,No,No,Quick Bites,"North Indian, South Indian, Arabian"
207,150.0,3.6,Al Madina Roll House,Yes,No,Quick Bites,Biryani
208,400.0,2.8,Al Manar,No,No,Quick Bites,"South Indian, North Indian, Chinese"
209,350.0,3.7,Al Noor,No,No,Quick Bites,"North Indian, Chinese, Arabian, Rolls"
210,450.0,3.9,Al Sadique,Yes,No,Quick Bites,"North Indian, Mughlai, Chinese, Rolls"
211,350.0,3.4,Al Sadique Restaurant,No,No,Quick Bites,"Mughlai, North Indian, Street Food"
212,350.0,3.1,Al Swaad Take Away,Yes,No,Quick Bites,"North Indian, South Indian, Arabian"
213,600.0,3.2,Al Taj Fast Food,Yes,No,Quick Bites,"Fast Food, North Indian, South Indian, Chinese"
214,200.0,3.4,Al Zaiqa Hotel,Yes,No,Quick Bites,"Chinese, South Indian, Fast Food"
215,900.0,3.7,Alampur Bar And Restaurant,Yes,No,Casual Dining,"Chinese, South Indian, North Indian"
216,800.0,2.8,Alankar Restaurant,No,No,Casual Dining,"South Indian, North Indian, Chinese"
217,500.0,3.8,Alankrutha,Yes,No,Casual Dining,"Andhra, Biryani, North Indian, Chinese"
218,4000.0,4.4,Alba - JW Marriott Bengaluru,No,Yes,Fine Dining,Italian
219,700.0,4.2,Al-Badia Restaurant,No,No,Casual Dining,Arabian
220,350.0,3.2,Al-Baik Kabab Corner,Yes,No,Quick Bites,"Kebab, Biryani"
221,450.0,3.6,Al-Baik Tandoori Restaurant,Yes,No,Quick Bites,"North Indian, Chinese, Arabian, Biryani, Rolls"
222,650.0,3.9,Al-Bek,Yes,No,Casual Dining,"North Indian, Mughlai, Chinese, Seafood"
223,150.0,4.3,Albert Bakery,No,No,Bakery,"Bakery, Fast Food"
224,2000.0,4.3,Alchemy - The Chancery Pavilion,No,Yes,"Microbrewery, Casual Dining",Modern Indian
225,500.0,4.2,Alchemy Coffee Roasters,No,No,Cafe,Cafe
226,400.0,3.0,Alfa Family Restaurant,No,No,Casual Dining,"North Indian, Arabian, Chinese"
227,2000.0,3.7,Alfresco by Bene -Sheraton Grand Bangalore Hotel at...,No,Yes,"Bar, Casual Dining",Continental
228,300.0,,Al-Hyatt,No,No,Quick Bites,"Biryani, Chinese"
229,150.0,3.4,Ali Snacks Point,Yes,No,Quick Bites,"Chinese, Momos"
230,700.0,2.9,Alibaba Cafe and Restaurant,No,No,Casual Dining,"Arabian, Middle Eastern"
231,1200.0,1.8,Alibi - Maya International Hotel,No,No,Casual Dining,"North Indian, Continental, Chinese"
232,200.0,3.6,AlienSip,Yes,No,Beverage Shop,Juices
233,600.0,3.6,Alif Restaurant,Yes,No,Casual Dining,"North Indian, Chinese"
234,400.0,4.4,Aligarh House,Yes,No,Delivery,"North Indian, Biryani, Awadhi, Mughlai"
235,300.0,2.8,Alikemom,Yes,No,"Takeaway, Delivery",North Indian
236,400.0,2.8,All Aromas,Yes,No,Quick Bites,"North Indian, Biryani"
237,200.0,3.6,All Saints Bakery,No,No,Bakery,Bakery
238,300.0,3.6,All Shook Up,Yes,No,"Dessert Parlor, Beverage Shop","Desserts, Beverages"
239,300.0,3.6,All Shook Up!,Yes,No,"Dessert Parlor, Beverage Shop","Desserts, Beverages"
240,250.0,2.9,Allahabadi Tadaka,No,No,Casual Dining,North Indian
241,200.0,3.3,Allana Kabab,No,No,Quick Bites,North Indian
242,2500.0,4.0,Alloro - The Oterra,No,Yes,Fine Dining,Italian
243,500.0,3.3,Al-Madina,No,No,"Takeaway, Delivery","North Indian, Chinese"
244,400.0,3.4,Al-Madina Restaurant,No,No,Casual Dining,"Arabian, North Indian, Chinese, Kerala"
245,400.0,2.8,Al-Marhaba Restaurant,Yes,No,Quick Bites,"Arabian, Chinese, North Indian, Rolls, Momos"
246,400.0,2.8,Al-Noor Restaurant,Yes,No,Quick Bites,"Chinese, North Indian, Mughlai"
247,800.0,3.3,Alpha - House of Biryani & Tandoor,Yes,No,Casual Dining,"Biryani, North Indian, Chinese"
248,400.0,4.0,Al-Sidique,Yes,No,Quick Bites,"North Indian, Chinese"
249,1900.0,4.1,alt,No,Yes,"Bar, Lounge",Finger Food
250,500.0,3.8,Altaf's Chillies Restaurant,Yes,No,Casual Dining,"North Indian, Chinese"
251,700.0,3.3,Altaj Restaurant,No,No,Casual Dining,"North Indian, Chinese"
252,600.0,3.3,Al-Taj Restaurant,Yes,No,Casual Dining,"South Indian, North Indian, Chinese"
253,650.0,3.8,Alter Ego D'Deli,Yes,No,Cafe,"Cafe, Continental, Italian, Burger, Pizza, Salad, Steak"
254,3000.0,4.3,Alto Vino - Bengaluru Marriott Hotel Whitefield,No,Yes,Fine Dining,"Italian, Salad"
255,100.0,3.4,AM WOW,Yes,No,Beverage Shop,Beverages
256,500.0,2.8,Amadora Gourmet Ice Cream & Sorbet,No,No,Dessert Parlor,Desserts
257,300.0,4.0,Amande Patisserie,Yes,No,Bakery,"Bakery, French, Desserts"
258,800.0,3.8,Amanthrana Gardenia,Yes,No,Casual Dining,"North Indian, Andhra, BBQ, Seafood, Chinese"
259,800.0,3.2,Amantrana,No,No,Casual Dining,"North Indian, South Indian"
260,300.0,3.2,Amar Kolkata,No,No,Quick Bites,"Bengali, North Indian, Chinese"
261,250.0,3.3,Amara Food Point,No,No,"Takeaway, Delivery",South Indian
262,400.0,3.7,Amaravathi Bar & Restaurant,No,No,"Casual Dining, Bar","North Indian, Chinese, Seafood"
263,400.0,3.6,Amaravathi Mess,Yes,No,Quick Bites,"Andhra, Biryani"
264,400.0,3.6,Amaravati,No,No,Quick Bites,"North Indian, Chinese"
265,350.0,3.5,Amaravati - Pure Veg Restaurant,Yes,No,Quick Bites,"South Indian, North Indian, Chinese"
266,600.0,3.0,Amaravati Authentic Andhra Restaurant,Yes,No,Casual Dining,"Andhra, Chinese, North Indian, Biryani"
267,300.0,3.3,Amaravati Food Court,Yes,No,Quick Bites,Kerala
268,550.0,3.3,Amaravati Grand,No,No,Casual Dining,"Chinese, Andhra, Mangalorean"
269,900.0,3.4,Amazing Blue Pub,No,No,Pub,Finger Food
270,800.0,3.8,Ambara Gardenia,Yes,Yes,Casual Dining,"Andhra, North Indian, Chinese, Seafood"
271,800.0,2.7,Ambarsaria,No,No,Casual Dining,North Indian
272,1500.0,3.9,Amber Rush by The Pool,No,No,"Bar, Casual Dining","North Indian, Chinese, Continental"
273,1000.0,4.1,Amber Rush Restobar,No,Yes,Pub,"Continental, Chinese, Fast Food"
274,300.0,3.5,Ambika Biryani Corner,No,No,Quick Bites,Biryani
275,500.0,3.7,Ambika Vegetarian Hotel,No,No,Casual Dining,"North Indian, Fast Food"
276,400.0,3.2,Ambujam's Chettinad Mess,Yes,No,"Quick Bites, Mess","South Indian, Chettinad"
277,250.0,3.1,Ambur Azad Darbar,No,No,Quick Bites,"North Indian, Fast Food, Biryani"
278,200.0,3.2,Ambur Biriyani,No,No,Quick Bites,Biryani
279,150.0,3.2,Ambur Biriyani Centre,No,No,Quick Bites,Biryani
280,700.0,3.3,Ambur Biriyani Classic,Yes,No,Casual Dining,"Biryani, South Indian, North Indian"
281,150.0,3.6,Ambur Biriyani Point,No,No,Quick Bites,Biryani
282,200.0,3.2,Ambur Biriyani Zone,No,No,Quick Bites,"Biryani, Kebab"
283,450.0,3.2,Ambur Biryani,No,No,Quick Bites,"South Indian, Fast Food"
284,200.0,3.2,Ambur Biryani Hotel,No,No,Quick Bites,Biryani
285,250.0,3.4,Ambur Biryani Mess,No,No,Mess,Biryani
286,150.0,3.3,Ambur Biryani Point,No,No,Quick Bites,Biryani
287,250.0,3.1,Ambur Chicken Biryani,No,No,Quick Bites,Biryani
288,200.0,3.2,Ambur Darbar Biriyani Point,Yes,No,Quick Bites,Biryani
289,160.0,2.8,Ambur Dum Biriyani,No,No,Quick Bites,Biryani
290,300.0,2.8,Ambur Dum Biryani,No,No,Quick Bites,"Biryani, Fast Food"
291,200.0,3.1,Ambur Hot Dum Biriyani,No,No,Quick Bites,Biryani
292,200.0,3.0,Ambur Hot Dum Biryani,No,No,Quick Bites,Biryani
293,200.0,3.5,Ambur Star Biryani,No,No,Quick Bites,Biryani
294,500.0,3.6,Ambur Star Briyani,Yes,No,Casual Dining,"North Indian, Chinese, Biryani"
295,200.0,3.2,Ambur Star Dum Biriyani,No,No,Quick Bites,Biryani
296,250.0,2.8,Ambur Star Dum Biryani,No,No,Quick Bites,Biryani
297,200.0,3.2,Ambur Tasty Biriyani,No,No,Quick Bites,Biryani
